,league,gamelength,result,k,d,a,fb,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardkills,wcpm,totalgold,earnedgpm,goldspent,gspd,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15
10,WC,30.15,1,13,5,28,0,0.4311774461,0.1658374793,0.5970149254,1,7.889733333,4,0,4,0,3,1,0,0,0,0,1,16.33725,1,14.86868333,1,1,0,54965,1823.0514100000003, , ,93,3.0845771139999996,48,1.5920398009999999,56903,1229.625207,48255,0.10060073130000001,94,24,31.90713101,15908,14407,1501,25858,21266,4592,18850,17725,1125,311,288,23,503,442
11,WC,30.15,0,5,13,10,1,0.1658374793,0.4311774461,0.5970149254,0,7.889733333,0,4,0,4,0,0,0,0,0,0,0,16.33725,0,14.86868333,0,0,1,47848,1586.998342, , ,105,3.482587065,32,1.061359867,45357,846.6733002000001,43633,-0.10060073130000001,107,0,29.22056385,14407,15908,-1501,21266,25858,-4592,17725,18850,-1125,288,311,-23,442,503
12,WC,34.63333333,0,12,17,24,1,0.34648700670000004,0.4908565929,0.8373435995999999,0,6.7391,1,4,1,4,1,0,0,0,0,0,0,11.17196667,0,13.67085,0,0,1,55352,1598.229066, , ,128,3.695861405,51,1.472569779,56116,968.5004812000001,55075,-0.06627166996,147,4,29.27815207,15984,16040,-56,23130,25148,-2018,18127,18373,-246,294,316,-22,445,491
13,WC,34.63333333,1,17,12,37,0,0.4908565929,0.34648700670000004,0.8373435995999999,1,6.7391,4,1,4,1,1,3,0,0,0,0,1,11.17196667,1,13.67085,1,1,0,73532,2123.156882, , ,128,3.695861405,63,1.819056785,68591,1328.702599,58850,0.06627166996,125,19,33.86910491,16040,15984,56,25148,23130,2018,18373,18127,246,316,294,22,491,445
14,WC,34.25,0,3,7,7,1,0.08759124087999999,0.204379562,0.2919708029,1,11.46261667,4,0,4,0,1,0,2,1,0,0,1,12.83388333,1,13.80031667,1,0,1,28341,827.4744526000001, , ,133,3.883211679,55,1.605839416,56132,986.6569343,53225,-0.04567735776,139,0,32.2919708,15867,15004,863,25616,23253,2363,19539,18932,607,331,327,4,495,502
15,WC,34.25,1,7,5,17,0,0.204379562,0.08759124087999999,0.2919708029,0,11.46261667,0,4,0,4,0,0,0,0,0,0,0,12.83388333,0,13.80031667,0,1,0,48491,1415.7956199999999, , ,121,3.532846715,60,1.7518248180000002,62260,1165.576642,55713,0.04567735776,163,11,35.62043796,15004,15867,-863,23253,25616,-2363,18932,19539,-607,327,331,-4,502,495
16,WC,30.13333333,1,22,11,34,1,0.7300884956,0.3650442478,1.095132743,0,9.971533333,3,1,3,1,0,1,1,1,0,0,1,13.11741667,1,10.67068333,1,1,0,75753,2513.926991, , ,111,3.683628319,59,1.9579646019999999,63833,1460.621681,52485,0.1155842193,107,37,35.11061947,17511,15719,1792,26169,24393,1776,18612,18019,593,302,273,29,497,478
17,WC,30.13333333,0,11,22,23,0,0.3650442478,0.7300884956,1.095132743,1,9.971533333,1,3,1,3,0,0,0,1,0,0,0,13.11741667,0,10.67068333,0,0,1,47521,1577.024336, , ,120,3.982300885,49,1.626106195,48237,943.0553097000001,46750,-0.1155842193,97,19,30.0,15719,17511,-1792,24393,26169,-1776,18019,18612,-593,273,302,-29,478,497
18,WC,40.03333333,1,21,19,39,0,0.5245628643,0.4746044963,0.9991673605,0,15.40723333,3,1,3,1,0,2,0,1,0,0,1,15.43533333,0,15.13128333,1,1,1,77974,1947.7268940000001, , ,172,4.29641965,58,1.448792673,75850,1248.249792,66208,-0.1000100441,166,28,33.89675271,15018,15469,-451,23079,24432,-1353,18476,18312,164,318,298,20,482,475
19,WC,40.03333333,0,19,21,39,1,0.4746044963,0.5245628643,0.9991673605,1,15.40723333,1,3,1,3,0,1,0,0,0,0,0,15.43533333,1,15.13128333,0,1,1,76338,1906.860949, , ,136,3.3971690260000003,69,1.723563697,73831,1197.816819,73178,0.1000100441,160,9,30.22481266,15469,15018,451,24432,23079,1353,18312,18476,-164,298,318,-20,475,482
